epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,45138.1,0.98381,0.97242,1.14561,0.79947,0.72444,0.79291,0.54454,0.96988,0.74704,1.00567,0.00410942,0.00410942,0.00410942
62,45877.4,0.98175,0.97017,1.14362,0.79866,0.72812,0.79524,0.54614,0.96841,0.74381,1.00465,0.00397568,0.00397568,0.00397568
63,46616.6,0.97899,0.96516,1.14239,0.80165,0.72635,0.79693,0.54817,0.96667,0.74072,1.00332,0.00384344,0.00384344,0.00384344
64,47358.3,0.97931,0.95928,1.14126,0.80358,0.72901,0.79945,0.55037,0.96472,0.73764,1.00195,0.00371283,0.00371283,0.00371283
65,48098.4,0.97325,0.95213,1.13796,0.80881,0.72804,0.80143,0.55236,0.9628,0.73447,1.00067,0.00358399,0.00358399,0.00358399
66,48836.8,0.9704,0.95139,1.13676,0.80895,0.73092,0.8033,0.55399,0.96106,0.73153,0.99928,0.00345704,0.00345704,0.00345704
67,49576.2,0.96556,0.94366,1.13531,0.81054,0.73349,0.80512,0.55636,0.95914,0.72809,0.99782,0.00333211,0.00333211,0.00333211
68,50314.3,0.96417,0.93901,1.13341,0.81317,0.73529,0.80781,0.5591,0.95718,0.72481,0.99645,0.00320931,0.00320931,0.00320931
69,51052.5,0.96237,0.9341,1.13152,0.80948,0.74234,0.80967,0.56021,0.95544,0.72236,0.99503,0.00308878,0.00308878,0.00308878
70,51790.5,0.95781,0.93124,1.13075,0.81279,0.74324,0.81166,0.56256,0.95372,0.71929,0.99378,0.00297062,0.00297062,0.00297062
71,52531.2,0.95562,0.92618,1.12932,0.8167,0.74285,0.81374,0.56459,0.95223,0.71641,0.99276,0.00285497,0.00285497,0.00285497
72,53269,0.95118,0.91999,1.12653,0.81736,0.74552,0.81625,0.56676,0.95068,0.71388,0.99153,0.00274192,0.00274192,0.00274192
73,54007,0.95037,0.91671,1.12601,0.82373,0.74389,0.81804,0.56931,0.94885,0.71099,0.99017,0.00263159,0.00263159,0.00263159
74,54746.7,0.94841,0.909,1.12237,0.82603,0.74507,0.81988,0.57122,0.94695,0.70784,0.98876,0.0025241,0.0025241,0.0025241
75,55485.3,0.94245,0.9046,1.12232,0.82843,0.748,0.82207,0.57318,0.94482,0.70449,0.98729,0.00241954,0.00241954,0.00241954
76,56223.5,0.94163,0.90136,1.12042,0.8296,0.7477,0.82334,0.57476,0.9429,0.70179,0.98589,0.00231802,0.00231802,0.00231802
77,56964,0.93889,0.89624,1.11923,0.83202,0.74768,0.82531,0.57711,0.94141,0.69884,0.98476,0.00221964,0.00221964,0.00221964
78,57702,0.93633,0.88911,1.11602,0.82811,0.75268,0.82673,0.5788,0.93987,0.69582,0.98342,0.0021245,0.0021245,0.0021245
79,58440.1,0.93309,0.88342,1.11458,0.83339,0.75188,0.8281,0.58039,0.93844,0.6929,0.9822,0.00203269,0.00203269,0.00203269
80,59177.9,0.92933,0.87952,1.11295,0.83547,0.75267,0.82912,0.58215,0.93655,0.6902,0.98089,0.0019443,0.0019443,0.0019443
81,59916.6,0.92785,0.87725,1.11189,0.83803,0.75554,0.83114,0.58441,0.93505,0.68745,0.97967,0.00185942,0.00185942,0.00185942
82,60654,0.92359,0.86929,1.10961,0.83906,0.75641,0.83253,0.58583,0.93392,0.68432,0.97865,0.00177814,0.00177814,0.00177814
83,61392.4,0.92163,0.86805,1.10887,0.84043,0.75982,0.83453,0.58778,0.93218,0.68131,0.97746,0.00170052,0.00170052,0.00170052
84,62132.3,0.91772,0.8603,1.10793,0.83993,0.76162,0.83615,0.58997,0.93079,0.67849,0.97646,0.00162666,0.00162666,0.00162666
85,62872,0.91466,0.85802,1.10575,0.84036,0.76366,0.83764,0.59147,0.92929,0.67544,0.97539,0.00155662,0.00155662,0.00155662
86,63610.1,0.91277,0.85325,1.1043,0.84257,0.76339,0.83945,0.59316,0.92788,0.67271,0.97438,0.00149047,0.00149047,0.00149047
87,64347.8,0.9132,0.85112,1.10587,0.84288,0.76567,0.84031,0.59408,0.92669,0.67036,0.97359,0.00142828,0.00142828,0.00142828
88,65084.5,0.91239,0.8484,1.10437,0.84524,0.76506,0.84136,0.59563,0.92489,0.66788,0.97235,0.0013701,0.0013701,0.0013701
89,65824.5,0.90777,0.84584,1.10176,0.84533,0.76685,0.84242,0.59719,0.92337,0.66523,0.9713,0.00131601,0.00131601,0.00131601
90,66567.2,0.90506,0.83808,1.10077,0.84958,0.76666,0.84398,0.59841,0.92205,0.6629,0.97026,0.00126604,0.00126604,0.00126604
91,67306.2,0.90227,0.6796,1.07554,0.85308,0.76637,0.84625,0.60051,0.9199,0.65982,0.96878,0.00122025,0.00122025,0.00122025
92,68043.7,0.89358,0.6611,1.07058,0.85429,0.76887,0.84834,0.60323,0.91697,0.65576,0.9668,0.00117868,0.00117868,0.00117868
93,68780.4,0.88758,0.65171,1.06894,0.85548,0.77156,0.85078,0.606,0.91423,0.65135,0.96504,0.00114138,0.00114138,0.00114138
94,69517.1,0.88106,0.64078,1.06537,0.86124,0.77163,0.85253,0.60913,0.91116,0.6467,0.96325,0.00110837,0.00110837,0.00110837
95,70253.7,0.88032,0.63479,1.06353,0.85883,0.77724,0.85566,0.61229,0.90857,0.64193,0.9616,0.00107971,0.00107971,0.00107971
96,70990.7,0.87374,0.62867,1.06052,0.86235,0.77886,0.8578,0.61424,0.906,0.63753,0.95992,0.0010554,0.0010554,0.0010554
97,71729.2,0.87248,0.62466,1.05715,0.86686,0.78023,0.86002,0.61672,0.90345,0.63347,0.95823,0.00103548,0.00103548,0.00103548
98,72465.9,0.87077,0.62308,1.05736,0.86691,0.785,0.8618,0.61917,0.90082,0.62987,0.95658,0.00101997,0.00101997,0.00101997
99,73202.7,0.86754,0.61752,1.05598,0.86674,0.78571,0.86423,0.62174,0.89844,0.626,0.95509,0.00100888,0.00100888,0.00100888
100,73941,0.8648,0.61287,1.05382,0.86751,0.78739,0.86671,0.62425,0.89621,0.6227,0.95387,0.00100222,0.00100222,0.00100222
