epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,39346.6,1.07989,1.16278,1.31509,0.6068,0.49881,0.53774,0.33666,1.17872,1.10193,1.39845,0.003664,0.003664,0.003664
66,39950.6,1.07839,1.16133,1.3156,0.60662,0.50187,0.54039,0.3386,1.17702,1.09942,1.397,0.003565,0.003565,0.003565
67,40556.7,1.07692,1.15443,1.31243,0.61059,0.50287,0.54201,0.33973,1.17545,1.09705,1.39558,0.003466,0.003466,0.003466
68,41165,1.07713,1.15576,1.31323,0.61081,0.50473,0.54388,0.34094,1.17386,1.09424,1.39413,0.003367,0.003367,0.003367
69,41769.4,1.07343,1.14586,1.30843,0.61385,0.50374,0.54572,0.34237,1.17281,1.09215,1.39286,0.003268,0.003268,0.003268
70,42375,1.07123,1.14837,1.30879,0.61674,0.50359,0.54699,0.34338,1.17236,1.09073,1.39205,0.003169,0.003169,0.003169
71,42978,1.07323,1.14843,1.31078,0.6189,0.50641,0.54788,0.34443,1.17165,1.08797,1.39126,0.00307,0.00307,0.00307
72,43581.7,1.07288,1.14721,1.31123,0.62143,0.50657,0.54919,0.34563,1.16982,1.08586,1.38933,0.002971,0.002971,0.002971
73,44184.2,1.07172,1.1443,1.30907,0.61896,0.51126,0.55063,0.34692,1.16862,1.08342,1.38799,0.002872,0.002872,0.002872
74,44787.9,1.06767,1.13998,1.30446,0.61707,0.51318,0.55281,0.34837,1.16739,1.0809,1.38674,0.002773,0.002773,0.002773
75,45388.3,1.06728,1.13663,1.30528,0.61745,0.51316,0.55474,0.34975,1.16651,1.07914,1.38583,0.002674,0.002674,0.002674
76,45991.3,1.06747,1.13411,1.30532,0.62206,0.51345,0.55672,0.35123,1.1659,1.0765,1.38522,0.002575,0.002575,0.002575
77,46591.3,1.06412,1.12894,1.30227,0.62632,0.51341,0.55799,0.35214,1.16529,1.07423,1.38483,0.002476,0.002476,0.002476
78,47192.7,1.05972,1.12775,1.30181,0.62619,0.51435,0.55966,0.35358,1.16455,1.07187,1.38416,0.002377,0.002377,0.002377
79,47799.3,1.05799,1.12104,1.30016,0.63116,0.51495,0.56081,0.35434,1.16352,1.07031,1.38297,0.002278,0.002278,0.002278
80,48400.7,1.05716,1.12265,1.30079,0.63043,0.51625,0.56184,0.35514,1.16256,1.06841,1.38224,0.002179,0.002179,0.002179
81,49003.2,1.05799,1.12312,1.30117,0.62578,0.51876,0.56352,0.35614,1.16185,1.06674,1.38212,0.00208,0.00208,0.00208
82,49604,1.05824,1.12256,1.29918,0.62575,0.51977,0.56446,0.3571,1.1614,1.06543,1.38172,0.001981,0.001981,0.001981
83,50206.7,1.05543,1.11869,1.29708,0.62937,0.51932,0.56591,0.35796,1.16092,1.06419,1.3814,0.001882,0.001882,0.001882
84,50811.1,1.0556,1.11786,1.29745,0.63282,0.51864,0.56743,0.35886,1.16,1.06265,1.38084,0.001783,0.001783,0.001783
85,51412.8,1.05135,1.11532,1.2963,0.63589,0.51852,0.568,0.3593,1.15867,1.06077,1.37978,0.001684,0.001684,0.001684
86,52017,1.05299,1.11214,1.2966,0.63315,0.51956,0.56817,0.36009,1.15745,1.05809,1.37821,0.001585,0.001585,0.001585
87,52623.2,1.04771,1.10564,1.29257,0.63948,0.5151,0.56926,0.36108,1.15639,1.05696,1.37708,0.001486,0.001486,0.001486
88,53227.1,1.04703,1.103,1.29219,0.64069,0.5146,0.57054,0.36205,1.156,1.05531,1.37673,0.001387,0.001387,0.001387
89,53831.5,1.0468,1.10224,1.29299,0.63605,0.51877,0.57103,0.36274,1.15592,1.05392,1.37641,0.001288,0.001288,0.001288
90,54434.5,1.04536,1.1018,1.29044,0.63631,0.5198,0.57194,0.36332,1.15565,1.05299,1.37585,0.001189,0.001189,0.001189
91,55039.4,1.07857,0.98284,1.32011,0.63749,0.52491,0.57447,0.36479,1.15388,1.05112,1.3735,0.00109,0.00109,0.00109
92,55645.1,1.06908,0.96337,1.31099,0.64282,0.52251,0.57753,0.3673,1.15074,1.04711,1.37049,0.000991,0.000991,0.000991
93,56247.8,1.06392,0.95483,1.30648,0.64496,0.52214,0.57998,0.3697,1.148,1.04342,1.36775,0.000892,0.000892,0.000892
94,56851.8,1.0612,0.9468,1.30459,0.65505,0.51966,0.58313,0.37228,1.14579,1.04006,1.36542,0.000793,0.000793,0.000793
95,57457,1.05693,0.94289,1.30023,0.65472,0.52415,0.58552,0.37468,1.1436,1.03641,1.3634,0.000694,0.000694,0.000694
96,58061.1,1.05374,0.93787,1.30002,0.66064,0.52292,0.58776,0.37657,1.14179,1.03293,1.36175,0.000595,0.000595,0.000595
97,58664.6,1.05424,0.93538,1.29768,0.65215,0.5287,0.58984,0.37841,1.14025,1.03036,1.36024,0.000496,0.000496,0.000496
98,59268.9,1.05051,0.93047,1.29723,0.6503,0.53432,0.59162,0.37996,1.13896,1.02801,1.35924,0.000397,0.000397,0.000397
99,59870.1,1.04678,0.92893,1.29387,0.6476,0.53852,0.59329,0.38147,1.13775,1.0259,1.35829,0.000298,0.000298,0.000298
100,60472,1.04569,0.9239,1.29259,0.65463,0.53446,0.59472,0.3824,1.13673,1.02426,1.35747,0.000199,0.000199,0.000199
